PowerPerPhoton;2.109859e+02
Photon ID;x-coordinate;y-coordinate;z-coordinate;surface side;Previous PhotonID;Next PhotonID
686;1.486543e-01;0.000000e+00;2.098689e-02;-1;685;0
691;4.032084e-02;0.000000e+00;-9.220097e-03;-1;690;0
695;-3.780122e-02;0.000000e+00;-3.346517e-02;-1;694;0
698;-1.356450e-02;0.000000e+00;-6.820225e-02;-1;697;0
701;1.268396e-02;0.000000e+00;7.289411e-02;-1;700;0
704;-1.438925e-02;-8.881784e-16;1.304260e-01;-1;703;0
707;1.354485e-02;0.000000e+00;2.444208e-02;-1;706;0
710;-1.846737e-02;-8.881784e-16;1.542467e-02;-1;709;0
713;4.250917e-02;8.881784e-16;-2.355894e-02;-1;712;0
717;-1.347327e-01;8.881784e-16;-1.517756e-02;-1;716;0
721;-1.453638e-02;0.000000e+00;1.041781e-02;-1;720;0
726;7.492963e-02;0.000000e+00;3.866817e-02;-1;725;0
731;9.369871e-02;8.881784e-16;4.856063e-02;-1;730;0
735;7.524628e-03;0.000000e+00;-5.944324e-03;-1;734;0
739;6.120733e-02;0.000000e+00;-6.551824e-02;-1;738;0
742;3.160396e-02;-8.881784e-16;1.281350e-01;-1;741;0
748;5.668178e-02;0.000000e+00;-1.949598e-03;-1;747;0
751;-7.316505e-02;8.881784e-16;-2.062528e-02;-1;750;0
754;5.394063e-02;-8.881784e-16;-9.014296e-02;-1;753;0
759;-6.831190e-02;-8.881784e-16;-6.357804e-02;-1;758;0
762;1.171365e-03;-8.881784e-16;3.823982e-03;-1;761;0
765;-9.858535e-02;0.000000e+00;-7.809418e-02;-1;764;0
769;-8.571657e-02;0.000000e+00;-3.016032e-02;-1;768;0
772;1.123391e-02;0.000000e+00;1.814100e-02;-1;771;0
776;9.287841e-02;0.000000e+00;-6.683898e-02;-1;775;0
780;-2.128522e-02;0.000000e+00;1.150037e-02;-1;779;0
783;1.018180e-01;0.000000e+00;3.248806e-02;-1;782;0
786;-3.264586e-02;8.881784e-16;-6.657951e-02;-1;785;0
791;-4.806732e-02;0.000000e+00;2.291758e-02;-1;790;0
795;1.525820e-02;0.000000e+00;-5.116878e-02;-1;794;0
798;-2.774390e-03;0.000000e+00;-1.010201e-01;-1;797;0
801;5.987125e-02;8.881784e-16;5.208279e-03;-1;800;0
806;-4.601443e-02;0.000000e+00;2.629745e-02;-1;805;0
810;2.518930e-02;8.881784e-16;4.478264e-03;-1;809;0
816;-1.169358e-03;0.000000e+00;-2.343382e-02;-1;815;0
819;-1.889294e-03;0.000000e+00;-3.727702e-02;-1;818;0
822;-8.456562e-02;0.000000e+00;3.577403e-02;-1;821;0
825;8.663371e-02;0.000000e+00;8.096350e-02;-1;824;0
831;-2.691859e-02;0.000000e+00;-3.828383e-02;-1;830;0
834;4.229140e-02;0.000000e+00;3.137392e-02;-1;833;0
839;-1.395667e-02;0.000000e+00;-5.534366e-03;-1;838;0
842;-7.899188e-02;-8.881784e-16;-3.421548e-02;-1;841;0
845;3.042521e-02;0.000000e+00;3.300642e-02;-1;844;0
848;2.483398e-02;8.881784e-16;5.061315e-02;-1;847;0
851;4.627341e-02;0.000000e+00;2.824252e-02;-1;850;0
854;1.337773e-02;0.000000e+00;2.288897e-02;-1;853;0
857;-9.241014e-02;-8.881784e-16;-1.667012e-02;-1;856;0
860;-1.262555e-01;0.000000e+00;-7.396027e-02;-1;859;0
864;-6.875631e-03;0.000000e+00;3.842659e-02;-1;863;0
868;-5.304478e-02;0.000000e+00;-2.334336e-02;-1;867;0
871;1.329134e-01;0.000000e+00;-4.069382e-02;-1;870;0
874;3.827311e-03;0.000000e+00;-2.886391e-02;-1;873;0
880;-2.820645e-02;0.000000e+00;5.344704e-02;-1;879;0
883;3.954009e-03;0.000000e+00;-1.158903e-02;-1;882;0
887;-1.031258e-02;0.000000e+00;1.171475e-02;-1;886;0
890;1.187172e-01;-8.881784e-16;-1.315631e-01;-1;889;0
893;8.324696e-02;0.000000e+00;-5.632357e-02;-1;892;0
896;-5.370014e-02;8.881784e-16;4.769709e-02;-1;895;0
899;-4.606690e-02;8.881784e-16;2.513900e-02;-1;898;0
902;-5.342358e-02;0.000000e+00;1.656174e-02;-1;901;0
905;-5.333136e-02;8.881784e-16;4.264765e-02;-1;904;0
908;3.203880e-02;-8.881784e-16;1.368060e-02;-1;907;0
914;-3.308312e-02;0.000000e+00;5.971321e-02;-1;913;0
917;-6.288207e-02;0.000000e+00;-1.513924e-02;-1;916;0
922;3.515237e-02;0.000000e+00;-1.612699e-02;-1;921;0
927;9.355414e-03;0.000000e+00;1.370335e-02;-1;926;0
930;1.925716e-02;8.881784e-16;3.741627e-02;-1;929;0
